Reporting Period,Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Georeference
6/30/21,261055,,Huntington,Suffolk,NY,11743,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/31/20,11/4/20,Complete,Long Island Power Solutions,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],15,Solaria Corporation,Solaria PowerXT-370R-PD,15,21000,,5.55,6134,,No,No,Yes,POINT (-73.415539 40.871218)
6/30/21,64382,5142-0206-Financing,Lindenhurst,Suffolk,NY,11757,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,7/6/16,10/28/16,Complete,HORIZON SOLAR LLC,Enphase Energy,S280-60-LL-X (240Vac),34,LG Electronics Solar Cell Division,LG315N1C-G4,34,33992.5,,10.71,13982,No,No,No,Yes,POINT (-73.374734 40.690158)
6/30/21,257420,,Brooklyn,Kings,NY,11218,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,8/8/20,10/29/20,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],8,LG Electronics Inc.,LG370Q1C-V5,8,38261,592,2.96,3001,,No,No,No,POINT (-73.976298 40.643629)
6/30/21,34492,4704-63229,Patchogue,Suffolk,NY,11772,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,4/24/15,7/2/15,Complete,Tesla Energy Operations Inc.,Power-One,PVI-3.0-OUTD-S-US-A (240V),1,Trina Solar,TSM-255PD05.18,13,18564,607,3.32,3044,No,No,No,No,POINT (-72.995552 40.76922)
6/30/21,2640,2091-3,Flushing,,NY,11369,Non-Residential,Residential/Small Commercial,ARRA Projects,Consolidated Edison,,2/24/12,2/24/12,Complete,,SMA America,SB7000US (240V),6,Sharp,NU-Q240F2,207,,,49.68,60571,,No,No,No,POINT (-73.872334 40.763688)
6/30/21,271298,,Staten Island,Richmond,NY,10303,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,11/3/20,12/11/20,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],22,LG Electronics Inc.,LG345N1C-V5,22,20992,850,7.59,5672,,No,No,No,POINT (-74.162953 40.629735)
6/30/21,2390,17946-46,Rexford,,NY,12148,Residential,Residential/Small Commercial,ARRA Projects,National Grid,,4/23/12,4/23/12,Complete,Tesla Energy Operations Inc.,Fronius USA,IG 5100 NEG,1,Kyocera Solar,KD215GX-LPU,18,,,3.87,4783,,No,No,No,POINT (-73.852723 42.840999)
6/30/21,245861,,New York City,Queens,NY,11369,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,5/1/20,11/11/20,Complete,Patriot Energy Solutions Corp.,SolarEdge Technologies Ltd.,SE3800A-US [240V],1,Canadian Solar Inc.,CS1H-325MS,11,13000,715,3.58,3927,,No,No,No,POINT (-73.872334 40.763688)
6/30/21,10000,4978-91027,Massapequa,Nassau,NY,11758,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,2/19/16,12/16/16,Complete,SunRun Inc.,SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-260PD05.08,21,17117.1,852,5.46,5980,No,No,No,No,POINT (-73.460296 40.682417)
6/30/21,255146,,Brooklyn,New York,NY,11236,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,7/22/20,11/16/20,Complete,Patriot Energy Solutions Corp.,SolarEdge Technologies Ltd.,SE3800 [208V],1,Solaria Corporation,Solaria PowerXT-370R-PD,11,15500,814,4.07,4562,,No,No,Yes,POINT (-73.902635 40.640299)
6/30/21,313273,,Oyster Bay,Nassau,NY,11771,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/17/21,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],22,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,22,32662.61,,8.36,8858,,No,No,Yes,POINT (-73.526447 40.867468)
6/30/21,277595,,Bronx,Bronx,NY,10456,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,11/25/20,1/18/21,Complete,SunPower Capital LLC,SunPower,SPR-E20-327-E-AC [208V],15,Sunpower,SPR-E20-327-E-AC,15,23544,981,4.91,6175,,No,No,No,POINT (-73.908566 40.830652)
6/30/21,128948,,Floral Park,Queens,NY,11001,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,7/7/18,8/13/18,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3000H-US [240V],1,REC Solar,REC290TP2 BLK,11,7507,632,3.19,2843,,No,No,No,POINT (-73.706441 40.722685)
6/30/21,47219,4704-81496,North Babylon,Suffolk,NY,11703,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,11/18/15,10/16/16,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,11,16016,326,2.86,3912,No,No,No,No,POINT (-73.323802 40.733915)
